lib,ndp,green,pc,ind,greencandidate,conscandidate
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,0,1
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
-0.065177496,0.044469736,0.014527512,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
0.007467086,0.017177291,0.022737083,-0.001663158,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.065177496,0.044469736,0.014527512,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
-0.040132019,0.018917495,0.021705317,0.000367729,0,1,1
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,0,0
0.037467086,-0.032822709,-0.007262917,-0.001663158,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,0,0
0.014822504,-0.035530264,0.014527512,0.002003033,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,0,0
0.037467086,-0.032822709,-0.007262917,-0.001663158,0,1,1
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.082467086,0.092177291,-0.177262917,-0.001663158,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,1
-0.015177496,0.014469736,-0.005472488,0.052003033,0,0,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,0,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
-0.040132019,0.018917495,0.021705317,0.000367729,0,0,0
-0.040132019,0.018917495,0.021705317,0.000367729,0,0,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,0,0
0.014822504,-0.035530264,0.014527512,0.002003033,0,0,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,0,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,0,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,0,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,1
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.039867981,-0.061082505,0.021705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
-0.015177496,0.014469736,-0.005472488,0.002003033,0,1,1
0.037467086,-0.032822709,-0.007262917,-0.001663158,0,1,0
0.007467086,0.017177291,-0.027262917,-0.001663158,0,1,0
-0.040132019,0.018917495,0.021705317,0.000367729,0,1,0
0.009867981,-0.011082505,0.001705317,0.000367729,0,1,0
