libpercent,ndppercent,greenpercent,conspercent
47.9404289,29.1704758,17.0793752,6.5
52.4629213,28.3011236,15.0022472,0
51.9765057,30.77435,10.8380473,6.5
39.5492982,32.730463,10.2308004,6.5
35.537914,47.889406,12.0941692,3.2247468
32.0857758,54.2462047,13.6680194,0
36.9598731,48.0597278,13.7735101,0
39.4195273,48.572156,12.0083167,0
58.7788893,26.2228355,14.9982753,0
51.0558009,35.568045,7.3785628,5.9975913
44.8985367,32.5553341,17.1876639,6.5
52.7462248,32.3978796,14.8558956,0
45.435827,36.0192176,11.7227179,0
44.2796249,43.9087809,11.8115942,0
37.6963582,50.612859,10.9164122,0
40.4925348,37.3639952,18.3662262,7.5544877
27.4133542,31.3393382,37.4486,0
39.6874068,48.826711,11.4858822,0
44.0951437,20.7254708,9.3121903,0
27.6146861,46.2501957,24.8121184,0
41.9736591,38.207037,16.0145066,0
45.0690401,30.3498812,20.5781697,6.5
55.7779701,21.9000216,20.8648922,0
59.7529513,20.8935971,19.3534516,0
60.8480933,21.2394638,14.2438083,7.3372693
59.049126,25.1356239,13.6678722,0
56.5726326,29.6675641,11.2723867,0
24.3324236,59.7420667,15.9255097,6.5
26.1060358,52.7546176,19.128735,0
44.3962848,34.6088751,15.2693498,5.0402477
51.7027858,28.8386084,16.2437876,3.5
40.7031339,41.943734,13.2343398,3.5652937
38.7859853,44.8002678,12.3819088,2.5143197
25.6933052,49.0430435,20.3343489,3.4294196
32.5386104,46.5369309,19.9131038,0
28.1969969,46.8994766,23.8566462,0
54.3861447,29.8114368,8.9977454,0
27.9275323,42.1905023,28.1636014,0
21.2043492,51.9344002,25.0659249,3.5
33.6576301,57.3130739,9.029296,0
35.4683623,47.5147333,14.9116005,5.5
38.1388337,45.4481947,15.2511214,0
46.3646906,34.4660365,18.3012967,0
23.7707721,23.6340012,52.1678178,0
42.3792929,28.662778,25.4437132,5.5
63.0637041,6.6470829,0,6.5
75.9386447,24.0613553,0,6.5
52.8005838,28.7319832,18.467433,0
30.0467623,55.7937703,12.8279306,0
40.2044708,47.6855045,12.1100247,3.5
24.5308958,50.7041207,24.1704752,0
57.1207925,31.6467831,11.2324244,0
58.2002601,29.5604681,12.2392718,0
52.4829278,34.0449513,10.4687396,0
41.4255469,40.7500756,12.7230568,3.4983365
48.893289,40.0678877,11.0388233,0
47.5975492,39.3513613,13.0510895,0
26.4620713,30.55871,41.9458324,0
31.0476258,42.4642895,25.3945072,0
55.8005644,26.9463782,15.710254,0
52.2329348,43.2934825,0,0
38.7468452,52.1013936,0,0
45.8249471,38.9724961,12.3388288,3.5
35.8323666,53.5817865,10.5858469,0
32.9488433,58.2926035,7.2466601,0
37.7576834,49.8519834,9.9036547,0
29.9947068,57.307534,6.8870199,0
41.8600782,50.8526745,6.7382081,0
50.938914,32.8733032,11.8438914,0
30.0789907,58.6179462,10.7575155,0
49.8744385,30.5874863,16.177979,0
31.8493266,54.1229284,13.5248253,0
42.1561852,40.4691248,15.7729989,3.5
42.218088,48.5687709,7.7206038,0
21.5574866,59.9557152,17.6387032,0
32.1585707,55.5708635,11.4661571,0
27.0949861,60.6248425,9.3121693,2.5396825
47.4586679,38.0585735,13.6702881,0
16.0263492,65.3082934,16.9223845,0
33.1599275,55.9430914,10.2624734,0
55.9576187,28.0326838,14.8199695,0
23.0066785,60.9695152,13.8975967,0
44.6242094,29.3569923,21.5706254,6.5
15.4921201,53.0511779,30.3763174,0
15.8714433,53.6220972,29.6861378,0
57.1428571,23.6287984,19.2283445,0
43.0762254,26.9283094,28.6391557,0
